,User,Total Edits,Total Minors,First Edit,Last Edit,Bot
0,Ulitz,65,29,20040709231143,20170526211439,unknown
1,Sirdon,35,4,20050810083556,20070923165954,unknown
2,Webcyss,23,14,20150815230132,20150822224847,unknown
3,Clodius pulcher,14,3,20120508000016,20130328210823,unknown
4,91.67.83.187,8,0,20120625104005,20120625104715,unknown
5,Informationswiedergutmachung,6,4,20140603110813,20180330004239,unknown
6,Bernd Rieke,6,1,20110708155321,20120913101010,unknown
7,Jesusfreund,6,2,20041129044701,20050105093623,unknown
8,Rita2008,6,0,20140716163535,20160529151323,unknown
9,80.134.248.241,5,0,20100909214932,20100909220711,unknown
10,84.174.114.35,5,0,20110316072935,20110316073119,unknown
11,Alnilam,5,5,20130705123230,20130823084435,unknown
12,Phantom,5,3,20060104131653,20080806120933,unknown
13,Machahn,5,5,20070607124635,20080929201431,unknown
14,Ulenspygel,5,2,20081215202848,20110915202833,unknown
15,Aka,4,4,20060109102323,20180502223138,unknown
16,79.237.159.122,4,0,20091027212502,20091027212839,unknown
17,Uwca,4,3,20171202164558,20171202192634,unknown
18,Rübezahl,4,0,20040306234356,20040307002218,unknown
19,Der Messer,4,4,20120625104523,20120625104722,unknown
20,Louis Wu,4,0,20100803184824,20141114103545,unknown
21,Woches,4,0,20150503042904,20160428205546,unknown
22,Koschi73,4,2,20170719152053,20171130202816,unknown
23,Atomiccocktail,4,0,20091015201009,20150816073240,unknown
24,87.163.209.224,4,0,20130705123221,20130705123606,unknown
25,Nachtwächter,3,0,20121006123339,20121129103201,unknown
26,80.228.79.136,3,0,20040309104710,20040309110247,unknown
27,87.156.225.197,3,0,20180109181302,20180109181745,unknown
28,Elmar Nolte,3,0,20080211190514,20140328070646,unknown
29,Mogelzahn,3,1,20060728191241,20160403143658,unknown
30,Gonzo Greyskull,3,1,20090929200815,20100911211405,unknown
31,UKoch,3,3,20150820202042,20150821201150,unknown
32,Florian.Keßler,3,3,20050324151352,20090728212454,unknown
33,*g,3,3,20040329191714,20040329192027,unknown
34,84.162.223.196,3,0,20070704122001,20070704122044,unknown
35,Usquam,3,1,20090221175426,20090610123332,unknown
36,Lukas²³,2,2,20120625104013,20120625104438,unknown
37,79.242.40.15,2,0,20090929200058,20090929200125,unknown
38,Volksfront von Judäa,2,0,20081008185624,20081008190024,unknown
39,Badingo95,2,0,20160904081748,20160904110716,unknown
40,St.Krekeler,2,1,20050809234436,20050810000232,unknown
41,Ziko,2,0,20080430151856,20170607160234,unknown
42,NORLU,2,0,20100615091909,20130528111705,unknown
43,WikiBenutzer,2,2,20131222163615,20131222163651,unknown
44,Srittau,2,2,20040614130339,20041130211025,unknown
45,Holiday,2,0,20121203190656,20121203225250,unknown
46,Zwobot,2,2,20040320172023,20050323202122,unknown
47,Jed,2,2,20070105190944,20070114181808,unknown
48,Derschueler,2,2,20120625104102,20120625104343,unknown
49,T34,2,2,20030828151215,20060613152137,unknown
50,80.134.136.94,2,0,20151207093358,20151207093453,unknown
51,Howwi,2,2,20110316073108,20110316073231,unknown
52,Prüm,2,2,20140816085914,20160605053150,unknown
53,Zubror,2,1,20171205071859,20171205072236,unknown
54,89.14.51.17,2,0,20090106144110,20090106144234,unknown
55,Mannerheim,2,1,20080813222026,20080813222205,unknown
56,Wolfram von Eschenbach,2,1,20060907192006,20060907192035,unknown
57,Emdee,2,2,20090930125817,20090930125948,unknown
58,Pittimann,2,2,20151207093405,20151207093500,unknown
59,80.171.131.248,2,0,20060212203755,20060212203844,unknown
60,Oenie,2,2,20110404075136,20111215131032,unknown
61,Milziade,2,2,20101106121142,20101106121211,unknown
62,80.133.53.207,2,0,20040523213212,20040523213449,unknown
63,Schnabeltassentier,2,1,20170416052823,20180414062723,unknown
64,Aufklärer,2,1,20050812125603,20050812145044,unknown
65,77.12.239.195,2,0,20120913090716,20120913090853,unknown
66,Luckas-bot,2,2,20091215073545,20100918181154,unknown
67,Hablu,2,0,20060529075014,20060617143303,unknown
68,195.37.69.66,2,0,20060109102300,20060109102352,unknown
69,83.181.94.146,2,0,20060921152648,20060921152705,unknown
70,Sprachpfleger,2,2,20150707174424,20181205232712,unknown
71,Sisko123,1,1,20170526122427,20170526122427,unknown
72,Fleasoft,1,1,20050913115531,20050913115531,unknown
73,88.74.159.84,1,0,20070315111350,20070315111350,unknown
74,Broadbot,1,1,20080725021257,20080725021257,unknown
75,Batrox,1,1,20050416213115,20050416213115,unknown
76,DodekBot,1,1,20061212075913,20061212075913,unknown
77,VolkovBot,1,1,20080130155301,20080130155301,unknown
78,87.187.48.218,1,0,20100226071616,20100226071616,unknown
79,Geof,1,0,20140130235911,20140130235911,unknown
80,Otto,1,1,20030105205653,20030105205653,unknown
81,Centenier,1,1,20160301093415,20160301093415,unknown
82,217.81.157.103,1,0,20041210095727,20041210095727,unknown
83,Kalorie,1,1,20180508180543,20180508180543,unknown
84,84.73.156.68,1,0,20060530005204,20060530005204,unknown
85,149.225.62.63,1,0,20070923164615,20070923164615,unknown
86,Assenmacher,1,1,20110915174648,20110915174648,unknown
87,Trustable,1,1,20130917114849,20130917114849,unknown
88,Harry8,1,0,20151022085552,20151022085552,unknown
89,87.77.10.27,1,0,20070520151324,20070520151324,unknown
90,LKD,1,1,20090106144247,20090106144247,unknown
91,MatthiasHuehr,1,0,20130606202142,20130606202142,unknown
92,141.91.210.38,1,0,20150508101937,20150508101937,unknown
93,Lysis,1,1,20040808153020,20040808153020,unknown
94,Julien Demade,1,0,20170806112701,20170806112701,unknown
95,Zweihundertzwölf,1,1,20051102215953,20051102215953,unknown
96,Interpretix,1,0,20070407135827,20070407135827,unknown
97,ZéroBot,1,1,20100916161234,20100916161234,unknown
98,BlueCücü,1,1,20130116230907,20130116230907,unknown
99,Jesi,1,0,20140813155947,20140813155947,unknown
100,134.100.32.73,1,0,20040330110747,20040330110747,unknown
101,Thijs!bot,1,1,20070203185540,20070203185540,unknown
102,Jobu0101,1,1,20120809222751,20120809222751,unknown
103,Pollastube,1,0,20140417142406,20140417142406,unknown
104,Stefan Kühn,1,1,20031213130100,20031213130100,unknown
105,80.129.10.238,1,0,20050323131333,20050323131333,unknown
106,FF-11,1,1,20190222214303,20190222214303,unknown
107,80.77.146.50,1,0,20061017115238,20061017115238,unknown
108,BotMultichill,1,1,20071129213429,20071129213429,unknown
109,85.178.223.63,1,0,20120322100203,20120322100203,unknown
110,185.22.142.196,1,0,20160128083218,20160128083218,unknown
111,188.96.141.77,1,0,20180303133049,20180303133049,unknown
112,Joystick~dewiki,1,1,20060312005832,20060312005832,unknown
113,Olei,1,0,20070704122100,20070704122100,unknown
114,Marlight,1,1,20090702180204,20090702180204,unknown
115,80.141.188.17,1,0,20041012114202,20041012114202,unknown
116,PolarBot,1,1,20070504210436,20070504210436,unknown
117,HuckTwain,1,0,20090104133828,20090104133828,unknown
118,Assayer,1,1,20101203183300,20101203183300,unknown
119,Addbot,1,1,20130403034725,20130403034725,unknown
120,87.188.121.113,1,0,20150420123159,20150420123159,unknown
121,Jürgen Oetting,1,0,20170607162902,20170607162902,unknown
122,Gpvos,1,1,20051011233607,20051011233607,unknown
123,Der Wolf im Wald,1,1,20070318002058,20070318002058,unknown
124,62.162.212.230,1,0,20080806120624,20080806120624,unknown
125,Kuebi,1,0,20100911205542,20100911205542,unknown
126,Katimpe,1,1,20140630143626,20140630143626,unknown
127,Frīheidasliova,1,0,20160529135326,20160529135326,unknown
128,Zahnstein,1,0,20050501194117,20050501194117,unknown
129,Ennimate,1,1,20100226071745,20100226071745,unknown
130,80.131.93.47,1,0,20140220164302,20140220164302,unknown
131,Putzlappen,1,0,20041210100134,20041210100134,unknown
132,Hoss,1,0,20180624151612,20180624151612,unknown
133,Ficbot,1,1,20070926114435,20070926114435,unknown
134,87.144.243.220,1,0,20110920174424,20110920174424,unknown
135,178.26.77.134,1,0,20130930204717,20130930204717,unknown
136,Reinhardhauke,1,1,20180122184048,20180122184048,unknown
137,Kubrick,1,1,20060109102420,20060109102420,unknown
138,95.33.56.125,1,0,20090111092642,20090111092642,unknown
139,93.207.5.160,1,0,20130609060131,20130609060131,unknown
140,Gerhardvalentin,1,1,20150508102009,20150508102009,unknown
141,Botteler,1,1,20040823001521,20040823001521,unknown
142,DaizY,1,0,20170806113237,20170806113237,unknown
143,Chobot,1,1,20051111101331,20051111101331,unknown
144,Atwik,1,1,20070408214240,20070408214240,unknown
145,LaaknorBot,1,1,20081119160311,20081119160311,unknown
146,Jeremiah21,1,1,20100921215241,20100921215241,unknown
147,Invisigoth67,1,0,20130317121028,20130317121028,unknown
148,80.228.79.117,1,0,20040413094327,20040413094327,unknown
149,RobertLechner,1,1,20160919210028,20160919210028,unknown
150,217.87.109.118,1,0,20070217095937,20070217095937,unknown
151,Decius,1,0,20080612104856,20080612104856,unknown
152,Asthma,1,0,20100711072049,20100711072049,unknown
153,JuTe CLZ,1,1,20120819081515,20120819081515,unknown
154,SFfmL,1,0,20140427153125,20140427153125,unknown
155,84.146.251.108,1,0,20050323214015,20050323214015,unknown
156,84.61.236.216,1,0,20061017130456,20061017130456,unknown
157,RobotQuistnix,1,1,20080102011231,20080102011231,unknown
158,AlMa77,1,1,20091030201053,20091030201053,unknown
159,87.163.116.189,1,0,20140115142056,20140115142056,unknown
160,Graphikus,1,1,20160128083229,20160128083229,unknown
161,Regi51,1,1,20180303133126,20180303133126,unknown
162,Robert Weemeyer,1,1,20060403010112,20060403010112,unknown
163,149.225.64.188,1,0,20070923133412,20070923133412,unknown
164,85.179.167.98,1,0,20090922134502,20090922134502,unknown
165,Giftmischer,1,1,20110807075116,20110807075116,unknown
166,Radiojunkie,1,1,20130821212049,20130821212049,unknown
167,ErikDunsing,1,1,20060106094600,20060106094600,unknown
168,85.178.16.253,1,0,20070508233956,20070508233956,unknown
169,Jón,1,1,20101204112441,20101204112441,unknown
170,EWriter,1,1,20130429234200,20130429234200,unknown
171,Testet95,1,1,20150420123212,20150420123212,unknown
172,Hi-Lo,1,0,20040625234433,20040625234433,unknown
173,SamWinchester000,1,0,20170610200152,20170610200152,unknown
174,80.185.147.111,1,0,20051018121513,20051018121513,unknown
175,Flominator,1,1,20070328184957,20070328184957,unknown
176,87.181.227.157,1,0,20100913092621,20100913092621,unknown
177,Fiona B.,1,0,20121204093653,20121204093653,unknown
178,Perrak,1,0,20140630173043,20140630173043,unknown
179,Lienhard Schulz,1,1,20040322224318,20040322224318,unknown
180,Hadibe,1,1,20160530060920,20160530060920,unknown
181,Onkelkoeln,1,1,20050508200120,20050508200120,unknown
182,SoulProvider,1,0,20070122185121,20070122185121,unknown
183,77.180.75.46,1,0,20080221204052,20080221204052,unknown
184,PhiKu,1,0,20100305105328,20100305105328,unknown
185,Rabax63,1,1,20140220164312,20140220164312,unknown
186,Schneelocke,1,1,20031013222238,20031013222238,unknown
187,217.88.239.22,1,0,20050201105154,20050201105154,unknown
188,WhoisWhoME,1,0,20190117110138,20190117110138,unknown
189,91.97.48.92,1,0,20071009160307,20071009160307,unknown
190,Gloser,1,0,20110927234437,20110927234437,unknown
191,Macuser10,1,0,20130930204816,20130930204816,unknown
192,217.253.89.171,1,0,20180219075752,20180219075752,unknown
193,UW,1,1,20070620073545,20070620073545,unknown
194,AndreasPraefcke,1,0,20090205091723,20090205091723,unknown
195,Afforever,1,1,20130609142616,20130609142616,unknown
196,Boonekamp,1,1,20150510124154,20150510124154,unknown
197,Paddy,1,1,20040830172751,20040830172751,unknown
198,Teefxiwlana,1,1,20170815195753,20170815195753,unknown
199,Gunnernett,1,1,20051129141449,20051129141449,unknown
200,44Pinguine,1,0,20070416152122,20070416152122,unknown
201,Vinci,1,1,20081205111751,20081205111751,unknown
202,Emmridet,1,1,20130318132418,20130318132418,unknown
203,MitigationMeasure,1,1,20141207160443,20141207160443,unknown
204,K.J.Bot~dewiki,1,1,20070223012930,20070223012930,unknown
205,Mia-etol,1,1,20080620201801,20080620201801,unknown
206,HRoestTypo,1,1,20140518175618,20140518175618,unknown
207,213.20.136.139,1,0,20040309001018,20040309001018,unknown
208,89.50.96.92,1,0,20061120202008,20061120202008,unknown
209,PixelBot,1,1,20080121132727,20080121132727,unknown
210,HexaChord,1,1,20140115142123,20140115142123,unknown
211,80.138.19.164,1,0,20160301093407,20160301093407,unknown
212,Slökmann,1,1,20180427022956,20180427022956,unknown
213,149.225.78.83,1,0,20070923155656,20070923155656,unknown
214,Baird's Tapir,1,1,20090922134546,20090922134546,unknown
215,93.220.21.133,1,0,20110821104823,20110821104823,unknown
216,91.4.108.38,1,0,20130823084143,20130823084143,unknown
217,Nere,1,1,20150916235237,20150916235237,unknown
218,HT~dewiki,1,1,20041202092950,20041202092950,unknown
219,M Huhn,1,1,20171216093039,20171216093039,unknown
220,89.50.88.22,1,0,20070509083615,20070509083615,unknown
221,TheWolf,1,1,20090106144125,20090106144125,unknown
222,79.206.203.237,1,0,20110204165314,20110204165314,unknown
223,Wheeke,1,1,20130519092519,20130519092519,unknown
224,80.144.120.91,1,0,20051019141001,20051019141001,unknown
225,Dl5xc,1,1,20070407091154,20070407091154,unknown
226,92.252.3.79,1,0,20080929201323,20080929201323,unknown
227,Nothere,1,1,20100914100148,20100914100148,unknown
228,Ulrichard,1,0,20121228234507,20121228234507,unknown
229,134.3.210.89,1,0,20160605045937,20160605045937,unknown
230,155.245.35.161,1,0,20050525161400,20050525161400,unknown
231,84.159.115.235,1,0,20070131080815,20070131080815,unknown
232,87.161.18.220,1,0,20080409223253,20080409223253,unknown
233,El Duende,1,0,20100310093358,20100310093358,unknown
234,FA2010,1,1,20120712215259,20120712215259,unknown
235,Kam Solusar,1,0,20140325154737,20140325154737,unknown
236,147.172.172.45,1,0,20031212142050,20031212142050,unknown
237,217.230.128.93,1,0,20050302200238,20050302200238,unknown
238,2003:C9:2F00:E601:F48D:8E30:9FFC:1E57,1,0,20190222213545,20190222213545,unknown
239,84.144.120.163,1,0,20071127223601,20071127223601,unknown
240,Widerborst,1,0,20111123144147,20111123144147,unknown
241,Über-Blick,1,0,20131025134258,20131025134258,unknown
242,Nameless23,1,1,20160105185344,20160105185344,unknown
243,MrDarkLynx,1,0,20180219075820,20180219075820,unknown
244,Sproink,1,1,20060311225511,20060311225511,unknown
245,Echo Echo Echo,1,0,20110415073618,20110415073618,unknown
246,80.133.91.30,1,0,20040913104846,20040913104846,unknown
247,Otberg,1,1,20171129141910,20171129141910,unknown
248,Mnh,1,1,20051229025700,20051229025700,unknown
249,SieBot,1,1,20070503173651,20070503173651,unknown
250,89.12.85.28,1,0,20101121213308,20101121213308,unknown
251,Gleb Albert,1,1,20130401155903,20130401155903,unknown
252,APPER,1,1,20150202194317,20150202194317,unknown
253,T.blau,1,0,20040525145954,20040525145954,unknown
