,"Gender","Admin","User","Global Edits","Bot","Edited Articles (Politik)","Total Edits (Politik)","Total Minors (Politik)","Rate of Minors (Politik)"
0,"male","True","Aka",2236071,0,247,1984,1972,"99,3951612903226"
1,"unknown","True","Horst Gräbner",214642,0,192,863,613,"71,0312862108922"
2,"unknown","True","Regi51",235833,0,177,701,687,"98,0028530670471"
3,"unknown","False","Pittimann",269895,0,172,798,744,"93,2330827067669"
4,"unknown","False","InternetArchiveBot",176719,1,163,277,0,0
5,"unknown","False","Zwobot",258919,1,157,637,630,"98,9010989010989"
6,"unknown","False","Luckas-bot",587228,1,153,448,448,100
7,"unknown","False","Boshomi",199524,0,152,432,133,"30,787037037037"
8,"male","False","RoBri",102754,0,147,451,317,"70,2882483370288"
9,"male","False","Neun-x",63351,0,144,892,91,"10,2017937219731"
10,"male","True","Pelz",319175,0,141,309,228,"73,7864077669903"
11,"unknown","False","Luke081515Bot",139352,1,139,312,0,0
12,"male","True","Seewolf",71600,0,134,358,312,"87,1508379888268"
13,"unknown","False","MorbZ-Bot",139578,1,132,187,187,100
14,"unknown","False","Xqbot",784948,1,130,383,383,100
15,"unknown","False","Gustav von Aschenbach",43578,0,129,716,502,"70,1117318435754"
16,"unknown","True","Itti",173016,0,129,394,368,"93,4010152284264"
17,"unknown","False","EmausBot",852956,1,129,245,245,100
18,"unknown","False","Sebbot",544416,1,120,259,55,"21,2355212355212"
19,"unknown","True","Jivee Blau",114791,0,119,293,249,"84,9829351535836"
20,"male","False","Scooter",116003,0,119,325,208,64
21,"unknown","False","Alnilam",122346,0,115,296,265,"89,527027027027"
22,"unknown","False","Invisigoth67",341864,0,113,165,125,"75,7575757575758"
23,"male","True","Mogelzahn",78271,0,112,1313,717,"54,6077684691546"
24,"unknown","False","Schnabeltassentier",218903,0,112,236,140,"59,3220338983051"
25,"unknown","False","TMFS",17438,0,112,1851,531,"28,6871961102107"
26,"male","False","Jed",77234,0,111,252,233,"92,4603174603175"
27,"male","True","Rmcharb",55488,0,109,293,176,"60,0682593856655"
28,"male","False","Olaf Kosinsky",41836,0,109,674,158,"23,4421364985163"
29,"male","False","Spuk968",213731,0,109,341,326,"95,6011730205279"
30,"male","False","Peter200",316298,0,109,303,287,"94,7194719471947"
31,"male","True","Stefan Kühn",94064,0,108,251,190,"75,6972111553785"
32,"male","False","Krdbot",326287,1,108,137,67,"48,9051094890511"
33,"unknown","False","FlaBot",189124,1,105,218,184,"84,4036697247707"
34,"unknown","True","Ot",59503,0,104,397,211,"53,1486146095718"
35,"male","False","Giftmischer",104833,0,103,217,198,"91,2442396313364"
36,"unknown","False","Hardenacke",121414,0,103,917,708,"77,2082878953108"
37,"unknown","False","Thijs!bot",328399,1,102,203,203,100
38,"unknown","False","VolkovBot",295202,1,101,209,209,100
39,"unknown","True","Logograph",62695,0,101,261,199,"76,2452107279694"
40,"unknown","False","Miltrak",50535,0,101,1792,7,"0,390625"
41,"unknown","False","Southpark",56771,0,100,958,730,"76,2004175365344"
42,"unknown","False","Unscheinbar",37537,0,99,567,381,"67,1957671957672"
43,"unknown","False","ZéroBot",359992,1,98,134,134,100
44,"male","True","DerHexer",169059,0,98,247,204,"82,5910931174089"
45,"male","False","Benatrevqre",117101,0,98,2479,879,"35,4578459056071"
46,"unknown","False","Tohma",51279,0,96,817,110,"13,4638922888617"
47,"unknown","False","RobotQuistnix",237053,1,95,225,225,100
48,"unknown","True","He3nry",122591,0,95,201,186,"92,5373134328358"
49,"unknown","True","Zollernalb",238733,0,94,262,254,"96,9465648854962"
50,"unknown","False","Leit",160765,0,94,760,364,"47,8947368421053"
51,"male","False","Nuuk",36143,0,93,753,350,"46,4807436918991"
52,"unknown","False","SieBot",260610,1,93,253,250,"98,8142292490119"
53,"unknown","False","CommonsDelinker",166318,1,93,230,143,"62,1739130434783"
54,"male","False","Inkowik",143893,0,92,182,166,"91,2087912087912"
55,"unknown","False","Serols",50648,0,91,215,211,"98,1395348837209"
56,"male","True","Karsten11",115490,0,91,313,67,"21,405750798722"
57,"unknown","True","WAH",63905,0,90,205,96,"46,8292682926829"
58,"unknown","False","Über-Blick",37196,0,90,452,9,"1,99115044247788"
59,"male","False","Felix König",46964,0,89,371,224,"60,377358490566"
60,"male","False","Wiegels",197533,0,89,151,123,"81,4569536423841"
61,"unknown","False","TXiKiBoT",334222,1,89,185,185,100
62,"unknown","False","KLBot2",637244,1,89,89,89,100
63,"male","False","Ziko",18108,0,88,336,8,"2,38095238095238"
64,"unknown","False","Don Magnifico",102326,0,88,127,11,"8,66141732283465"
65,"unknown","True","Ephraim33",159713,0,88,143,0,0
66,"unknown","False","Phi",70119,0,87,1469,326,"22,1919673247107"
67,"unknown","False","Informationswiedergutmachung",340225,0,86,146,95,"65,0684931506849"
68,"unknown","False","Jergen",124632,0,85,263,160,"60,8365019011407"
69,"male","False","Slökmann",31066,0,85,166,109,"65,6626506024096"
70,"unknown","False","RedBot",133495,1,85,114,114,100
71,"unknown","False","Howwi",80317,0,84,199,175,"87,9396984924623"
72,"unknown","False","YurikBot",131149,1,84,141,140,"99,290780141844"
73,"male","True","Stefan64",48304,0,83,322,204,"63,3540372670807"
74,"unknown","True","Armin P.",86458,0,83,629,492,"78,2193958664547"
75,"female","False","Rita2008",66147,0,83,1045,73,"6,98564593301435"
76,"unknown","False","Diba",121536,0,83,227,216,"95,1541850220264"
77,"unknown","False","Jesi",302855,0,82,140,3,"2,14285714285714"
78,"unknown","False","GrouchoBot",143487,1,82,130,130,100
79,"unknown","True","HaeB",36846,0,80,399,164,"41,1027568922306"
80,"unknown","False","Komischn",35180,0,80,195,185,"94,8717948717949"
81,"unknown","True","Tönjes",66458,0,80,185,139,"75,1351351351351"
82,"unknown","False","LKD",109541,0,79,253,250,"98,8142292490119"
83,"unknown","True","D",56999,0,79,342,284,"83,0409356725146"
84,"unknown","False","Zaphiro",86618,0,78,948,887,"93,5654008438818"
85,"female","False","Ute Erb",83545,0,78,221,217,"98,1900452488688"
86,"male","True","Dandelo",53836,0,78,148,70,"47,2972972972973"
87,"unknown","False","Zeno Gantner",22270,0,76,193,148,"76,6839378238342"
88,"unknown","False","APPERbot",949918,1,75,83,77,"92,7710843373494"
89,"unknown","False","JFH-52",26573,0,75,243,186,"76,5432098765432"
90,"unknown","False","Asthma",88178,0,75,154,70,"45,4545454545455"
91,"male","False","Snoopy1964",33863,0,75,164,155,"94,5121951219512"
92,"male","True","Altsprachenfreund",103725,0,75,188,107,"56,9148936170213"
93,"male","False","Florian.Keßler",64562,0,74,135,108,80
94,"male","False","Tobias1983",42921,0,73,134,87,"64,9253731343284"
95,"unknown","False","Sprachpfleger",33634,0,73,199,131,"65,8291457286432"
96,"male","True","Der.Traeumer",61762,0,72,135,109,"80,7407407407407"
97,"unknown","False","Head",31389,0,72,126,94,"74,6031746031746"
98,"male","False","Natsu Dragoneel",41743,0,72,267,181,"67,7902621722846"
99,"male","False","Andy king50",109022,0,72,139,87,"62,589928057554"
100,"unknown","False","APPER",144142,0,71,120,105,"87,5"
101,"unknown","False","Sir",57142,0,71,363,248,"68,3195592286501"
102,"unknown","True","AHZ",232761,0,70,185,93,"50,2702702702703"
103,"unknown","True","Engie",54533,0,70,138,128,"92,7536231884058"
104,"male","True","Codc",81760,0,70,124,91,"73,3870967741936"
105,"unknown","False","Buchbibliothek",17257,0,70,162,86,"53,0864197530864"
106,"male","False","Marcus Cyron",207879,0,69,159,125,"78,6163522012579"
107,"unknown","False","Complex",92121,0,69,161,147,"91,304347826087"
108,"male","False","Yoda1893",33541,0,68,248,57,"22,9838709677419"
109,"unknown","False","David Wintzer",27116,0,68,214,195,"91,1214953271028"
110,"unknown","False","Centenier",71407,0,67,124,110,"88,7096774193548"
111,"unknown","False","Markobr",31175,0,67,132,126,"95,4545454545455"
112,"unknown","False","Triebtäter",89851,0,67,161,12,"7,45341614906832"
113,"unknown","False","MAY",135372,0,67,293,6,"2,04778156996587"
114,"unknown","False","Carol.Christiansen",62572,0,66,160,143,"89,375"
115,"male","False","Matt1971",69045,0,66,116,79,"68,1034482758621"
116,"male","False","SamWinchester000",22792,0,66,239,2,"0,836820083682008"
117,"male","True","Kuebi",149026,0,66,216,84,"38,8888888888889"
118,"unknown","False","Crazy1880",220959,0,66,94,11,"11,7021276595745"
119,"unknown","False","Tsor",119566,0,66,146,106,"72,6027397260274"
120,"unknown","False","Definitiv",135507,0,65,104,68,"65,3846153846154"
121,"unknown","False","PsY.cHo",44936,0,65,280,279,"99,6428571428571"
122,"unknown","False","Gamma9",23843,0,65,110,100,"90,9090909090909"
123,"unknown","False","Felix Stember",68508,0,65,143,106,"74,1258741258741"
124,"unknown","False","EH⁴²",27812,0,64,995,303,"30,4522613065327"
125,"unknown","False","RonMeier",91866,0,63,85,85,100
126,"male","False","JamesP",141346,0,63,87,87,100
127,"male","False","Paddy",21809,0,63,87,68,"78,1609195402299"
128,"unknown","False","N.Eschenhagen",3182,0,62,366,93,"25,4098360655738"
129,"unknown","False","JAnDbot",123134,1,62,139,136,"97,841726618705"
130,"unknown","False","Se4598",30595,0,62,141,140,"99,290780141844"
131,"unknown","False","Andropov",31834,0,62,345,55,"15,9420289855072"
132,"unknown","False","Mathias Schindler",18422,0,62,132,128,"96,969696969697"
133,"unknown","False","MerlLinkBot",20554,1,62,75,73,"97,3333333333333"
134,"male","False","Jón",68066,0,62,156,79,"50,6410256410256"
135,"unknown","False","SFfmL",8064,0,61,95,8,"8,42105263157895"
136,"unknown","False","Stefanbw",17028,0,61,153,0,0
137,"male","False","Jobu0101",56053,0,61,117,101,"86,3247863247863"
138,"unknown","False","TaxonKatBot",108893,1,60,76,76,100
139,"male","True","PDD",120894,0,60,123,62,"50,4065040650407"
140,"unknown","False","WikitanvirBot",106692,1,59,97,97,100
141,"male","False","Harry8",560575,0,59,139,67,"48,2014388489209"
142,"unknown","False","Ulitz",39280,0,58,2074,655,"31,5814850530376"
143,"male","False","Sir James",19152,0,58,380,243,"63,9473684210526"
144,"unknown","False","AF666",129408,0,58,3079,410,"13,3160116921078"
145,"unknown","False","Fossa",57653,0,58,452,65,"14,3805309734513"
146,"unknown","False","Alexbot",135473,1,58,80,80,100
147,"unknown","False","LIU",26771,0,57,122,58,"47,5409836065574"
148,"unknown","False","KastusK",6377,0,57,239,3,"1,25523012552301"
149,"unknown","False","Berlin-Jurist",16396,0,57,926,307,"33,1533477321814"
150,"unknown","False","C.Löser",30458,0,57,216,107,"49,537037037037"
151,"male","False","Dmicha",52130,0,57,100,100,100
152,"unknown","False","Sinn",60920,0,57,142,79,"55,6338028169014"
153,"unknown","False","ArthurBot",163942,1,57,86,86,100
154,"male","False","AndreasPraefcke",121854,0,57,103,67,"65,0485436893204"
155,"unknown","False","Hubertl",102007,0,57,137,81,"59,1240875912409"
156,"male","False","Pfieffer Latsch",29018,0,56,169,33,"19,5266272189349"
157,"unknown","True","Sargoth",68220,0,56,1130,553,"48,9380530973451"
158,"unknown","False","MerlIwBot",300828,1,56,92,92,100
159,"unknown","True","Hydro",180306,0,56,95,91,"95,7894736842105"
160,"unknown","False","Kolja21",96910,0,56,97,75,"77,319587628866"
161,"unknown","False","Savin 2005",82957,0,56,109,103,"94,4954128440367"
162,"unknown","False","STBR",86022,0,55,93,76,"81,7204301075269"
163,"unknown","True","YourEyesOnly",59748,0,55,118,116,"98,3050847457627"
164,"unknown","False","GünniX",47481,0,55,76,72,"94,7368421052632"
165,"unknown","False","Loveless",75891,1,55,70,70,100
166,"unknown","False","Wst",58259,0,55,92,74,"80,4347826086957"
167,"unknown","False","House1630",17925,0,54,260,66,"25,3846153846154"
168,"male","False","TheK",42896,0,53,85,8,"9,41176470588235"
169,"male","False","Mupa280868",29695,0,53,85,72,"84,7058823529412"
170,"unknown","False","Anathema",33804,0,53,139,99,"71,2230215827338"
171,"unknown","True","Kam Solusar",50502,0,53,71,57,"80,2816901408451"
172,"unknown","False","Rapober",12396,0,53,98,81,"82,6530612244898"
173,"male","False","Radschläger",92361,0,53,107,89,"83,1775700934579"
174,"unknown","False","EBB",5173,0,52,578,450,"77,8546712802768"
175,"unknown","False","Mps",163664,0,52,121,92,"76,0330578512397"
176,"unknown","False","Akkakk",50236,0,52,67,29,"43,2835820895522"
177,"unknown","False","Addbot",127248,1,52,52,52,100
178,"unknown","False","Hozro",38999,0,52,123,91,"73,9837398373984"
179,"male","False","Malabon",35118,0,51,139,107,"76,9784172661871"
180,"male","False","Richard Lenzen",38145,0,51,210,195,"92,8571428571429"
181,"unknown","True","Perrak",57208,0,51,169,28,"16,5680473372781"
182,"unknown","False","Jaellee",33272,0,51,83,79,"95,1807228915663"
183,"unknown","False","Cholo Aleman",92041,0,50,78,10,"12,8205128205128"
184,"male","False","Thorbjoern",44165,0,50,169,66,"39,0532544378698"
185,"male","False","Excolis",7248,0,50,145,38,"26,2068965517241"
186,"unknown","False","Ralf Roletschek",92263,0,50,150,32,"21,3333333333333"
187,"unknown","False","ErikDunsing",26262,0,50,76,75,"98,6842105263158"
188,"male","True","Uwe Gille",186269,0,50,65,54,"83,0769230769231"
189,"unknown","True","Kh80",25985,0,50,108,98,"90,7407407407407"
190,"unknown","False","Str1977",7354,0,50,252,20,"7,93650793650794"
191,"unknown","False","Wikifreund",33782,0,50,147,22,"14,9659863945578"
192,"unknown","False","Lettres",2185,0,49,482,96,"19,9170124481328"
193,"unknown","False","Stern",46313,0,49,138,43,"31,1594202898551"
194,"male","False","BurghardRichter",31101,0,49,514,279,"54,2801556420234"
195,"unknown","False","Skriptor",19781,0,48,349,186,"53,2951289398281"
196,"male","False","Merkið",26295,0,48,81,48,"59,2592592592593"
197,"unknown","False","Hansele",34706,0,48,170,16,"9,41176470588235"
198,"male","False","Gödeke",113342,0,48,106,92,"86,7924528301887"
199,"male","False","GT1976",206439,0,48,111,11,"9,90990990990991"
